		Year of publication																																		
Albanian	Romanian				1		2				1		1	1				1			1		1					2	2	4	4	2				
Albanian	Russian		8	3	7	5	5	5	3	5		2	1		1	1		1	1											1			2			
Albanian	Serbian																			1		1		2	1	1	3		1	2			1			
Albanian	Serbo-Croatian (to 1992)		7	3	3	3	4	3	6	3	6	5	4																							
Albanian	Slovak						1		1	1																1				1		1				
Albanian	Slovenian		3			1					1		1				1											1		1						
Albanian	Spanish		9	6	12	6	7	11	6	5	4	1	1	5	2	3	1	2	2	1	1	1	2	2	8	1		3	2		3	2				
Albanian	Swedish		2	1			1			1		1		1		1	1	1		1					1	2	5	1			1					
Albanian	Turkish		7			2	1			3	2	1	4	7		1																				
Albanian	Ukrainian					1				1																										
Algonquin	English																									1										
Algonquin	French																									1										
Alsacien	French		1				1							1	2			1		2	1	4	1	2												
Alsacien	German		1												1							1														
Altai, Southern	English									1																										
Altai, Southern	Japanese																								1											
Altai, Southern	Kirghiz					1					1																									
Altai, Southern	Russian		5		2	8	6	1	5	5	6	5	2	1	1		1																			
Altai, Southern	Tuvinian						1																													
Altai, Southern	Ukrainian			1		1				1																										
Amharic	Czech																	1									1	1				1				
Amharic	English						1									1		2	2					1	1			1								
Amharic	Finnish																				1															
Amharic	French		1			1		1		1															1	1		1								
Amharic	German		1	1		1	1				1	1					1	1			2							1			1					
Amharic	Greek, Modern (1453-)																		1																	
Amharic	Hebrew																													1						
Amharic	Italian		1														1	1							1		1									
Amharic	Latin											1																								
Amharic	Macedonian															1		1																		
Amharic	Portuguese																										1									
Amharic	Romanian																													1	1					
Amharic	Russian				1			2		1	2		1		2																					
Amharic	Spanish												1			1			1						1											
Amharic	Suri																												1							
Anglo-Norman	English					1						1				1				2						2	1		2	1						
Anglo-Norman	German								1																											
Anglo-Norman	Spanish																								1											
Anindilyakawa	English																											1								
Anmatyerre	English																							1												
Apache, Mescalero-Chiricahua	English			1														1																		
Apache, Mescalero-Chiricahua	Spanish																			1																
Apache, Western	English																											1								
Apache, Western	Portuguese																				1															
Arabic	Adyghe; Adygei															1																				
Arabic	Adzera																											1								
Arabic	Afrikaans																										1									
Arabic	Albanian	2	1		1	1	3		2	3		1					2	7	6	6	7	10	26	3	2	19	12	8	15	33	39	29	19			
Arabic	Amarasi																											1								
Arabic	Amharic						1																													
Arabic	Arabic								2																					1						
Arabic	Armenian				1	1								3														1			1					
Arabic	Assamese				1		1	1																												
Arabic	Avaric																		1										2							
Arabic	Azerbaijani		2	3			1	1		1		1	1	1	2									1	1	2										
Arabic	Bashkir						1	1						1																1						
Arabic	Basque							2						1		1	1				1					1		2								
Arabic	Bengali		1	5	5	4	2	2	7	5	1									1		1	1	5			6	1								
Arabic	Bosnian																										2		40	9	17	4	4			
Arabic	Breton														1									1												
Arabic	Bulgarian					3	5	3	1	3	3		1	1	5	5	4	2	5	3	3	2	4	1		1	2	4	3	5	2	5	2			
Arabic	Burmese		1																																	
Arabic	Catalan				1	2	6	5	1	6	2		2	2	1		3	1	2	2		3	6	5	6	4	2	2	4	1	10	3				
Arabic	Chinese			3	1		1		2							1					1		4	4	2	11	33	25	16	18	24					
Arabic	Croatian																2	1	1			1	1	4	6		1	1			1	3	2			
Arabic	Czech					1	1			1				1	2	1				3	2		1	3	2	1	3	2	4		5	5	3			
Arabic	Danish		3	4	4	2	1	3	2	1	1	4	5	6	4	3	1	3	1	1	2	5	5	2	4	1	5	9	4	11	3	2				
Arabic	Dutch	2	6	2			1	4	4	5	2	7	11	4	9	6	6	13	22	20	24	13	3	7	25	23	14	23	23	20						
Arabic	English	9	28	50	76	49	50	48	63	67	65	60	62	66	52	57	89	93	68	68	80	77	68	66	54	69	62	63	78	56	61	40	11	4	2	
Arabic	Estonian		1					2								1	1						1		1			4	1		5					
Arabic	Farsi, Eastern; Dari										1																				1					
Arabic	Farsi, Western; Persian					1		3		11	25									1	1		196	1	1		1	450			1					
Arabic	Filipino; Pilipino																			1							1									
Arabic	Finnish		3	2	1	2	2		1			1	2	2	2	1	1	2	3	2	2	2	3	2	4	2	1	4	1	2	7	3				
Arabic	Foodo																					1														
Arabic	French	1	35	39	56	36	36	22	27	56	30	26	28	27	54	53	43	42	69	79	84	81	92	62	122	116	173	142	139	118	104	81	5	4		2
Arabic	French, Old (842-ca.1400)																								1											
Arabic	Fulniô																											1								
Arabic	Gallegan						1	1									1								1											
Arabic	Georgian				1			2		1	2	1																								
Arabic	German		19	18	41	40	37	42	33	40	47	56	37	32	36	34	34	35	41	45	22	34	29	24	21	36	23	69	45	39	52	56	38			
Arabic	Greek, Modern (1453-)			1	2				7			3	1	2		1		3	2		1	2	2	3	2	2	3	3	1	6	3	2				
Arabic	Gujarati							1	1			1	1											1												
Arabic	Hausa															1															1					
Arabic	Hebrew		4		3	2	2	2				3		1			1									1			1	3			1			
Arabic	Hindi					1	2								1				1				1				3	1								
Arabic	Hozo																										1									
Arabic	Hungarian				1		2		1		3	3		1		1	2	2	4		3	2		3	4	2	6	4	4	5	5					
Arabic	Icelandic						1	1	1	1			1	3													1									
Arabic	Indonesian		65	5		4	5		8	73	45	99	1	94	99					1	15					3	13	1	62	85	108	88	60			
Arabic	Italian		3	5	12	1			2	4	4	3	4	1	3	12	14	12	10	9	11	8	12	3	8	3	11	10	1	1		1				
Arabic	Japanese		3	3				1	2		1	6		5	3	1	7	6	1	3	2	3	1		10	6	8	18	1	9	4			2		
Arabic	Jula																									1										
Arabic	Kabardian																											1								
Arabic	Kabyle																												1							
Arabic	Kannada																							1												
Arabic	Kazakh			2	1		3		1			1	1	1	1	2	1				1	1	1	1	1	7	6	5	4	2	1	2				
