		Year of publication																																		
Farsi, Western; Persian	Karachay-Balkar					1							1	1																						
Farsi, Western; Persian	Kara-Kalpak			1																																
Farsi, Western; Persian	Kazakh		1	1	1	1					1				1				1			1	1			1			2	1						
Farsi, Western; Persian	Kirghiz			1			1				1		1																							
Farsi, Western; Persian	Korean			2										1	1								5													
Farsi, Western; Persian	Kurdish																1						2					1								
Farsi, Western; Persian	Latvian					1	1		1																						1					
Farsi, Western; Persian	Lithuanian					1		1	1												2	3				1			1	1						
Farsi, Western; Persian	Macedonian								1									1					1							1	1					
Farsi, Western; Persian	Malay					1	4			1	1																									
Farsi, Western; Persian	Malayalam					1																														
Farsi, Western; Persian	Moldavian					1		1		1				1								1														
Farsi, Western; Persian	Mongolian, Halh																	1								2										
Farsi, Western; Persian	Multiple languages						1						1	1																						
Farsi, Western; Persian	Norwegian																								3	5	2									
Farsi, Western; Persian	Norwegian, Bokmål																												1	4	2	1				
Farsi, Western; Persian	Norwegian, Nynorsk																				1															
Farsi, Western; Persian	Not Supplied																						1													
Farsi, Western; Persian	Oriya																		1																	
Farsi, Western; Persian	Ossetian; Ossetic														1																					
Farsi, Western; Persian	Panjabi			1	2	1																														
Farsi, Western; Persian	Polish		1	2	1	1	1			2				1	3	1		1					1		7			2		1						
Farsi, Western; Persian	Portuguese		1			1	1			1	1	1		2		1		1								4	4									
Farsi, Western; Persian	Romanian		1			1	2					1				1	2		1	2		3			1	1		4	2	1	1					
Farsi, Western; Persian	Russian		9	17	13	11	12	14	17	7	11	6	17	6	8	10	7	5	5	3			4					10	20	15	13	1				
Farsi, Western; Persian	Scots																									3		1								
Farsi, Western; Persian	Serbian																		1	1	1			1	3	3	2	1	3	2	1	1	2			
Farsi, Western; Persian	Serbo-Croatian (to 1992)		2				1		1		1		1																							
Farsi, Western; Persian	Sindhi		1																																	
Farsi, Western; Persian	Sinhala		1																																	
Farsi, Western; Persian	Slovak							1										1								1										
Farsi, Western; Persian	Slovenian		1																				1			1	1	1	1		1					
Farsi, Western; Persian	Spanish			1	2	1	1	1	3	3	3	1		1	3	4	4	4	7	3	5	4	12	6	8	6	20	4	8	1	5	7				
Farsi, Western; Persian	Swedish			1	1		1	5	4	1		1		4	3	4	1	3		8	6	4	7	7	3	5	2	2	2	4	4	3				
Farsi, Western; Persian	Tajik						1	2			2	1	2																							
Farsi, Western; Persian	Tamil			1						1									1					1												
Farsi, Western; Persian	Tatar									1							1																			
Farsi, Western; Persian	Telugu				1																															
Farsi, Western; Persian	Turkish		3	1	3	6	5	7	11	21	12	15	20	35	5	18	3	2					1	6												
Farsi, Western; Persian	Uighur							1																			2		1		1					
Farsi, Western; Persian	Ukrainian						1	1						1																						
Farsi, Western; Persian	Urdu	5	9	6	1	2	2			2	2	1	2	1		3	6	3	3	1	1	1		2	4			5	2	4	2	4				
Farsi, Western; Persian	Uzbek		5	5	2	2	1	1	5	3	3	1	1	3	4																	4				
Farsi, Western; Persian	Xhosa																															1				
Fijian	French																													1						
Filipino; Pilipino	Chinese																								1											
Filipino; Pilipino	Dutch																	1																		
Filipino; Pilipino	English													1		3		1	2			4	5	8	6	7	10	1		5	6	8				
Filipino; Pilipino	Filipino; Pilipino																										1									
Filipino; Pilipino	Finnish																								1											
Filipino; Pilipino	French									1																1										
Filipino; Pilipino	Italian																						1													
Filipino; Pilipino	Japanese				1									1			1	1			1									2						
Filipino; Pilipino	Mapun															1																				
Filipino; Pilipino	Russian				1			1		1																										
Filipino; Pilipino	Ukrainian										1																									
Finnish	Albanian							1										1	1		1						1			1	2	3	1			
Finnish	Arabic		1																1								1									
Finnish	Armenian							1																							1					
Finnish	Azerbaijani												1																							
Finnish	Belarusian							1						1				2												1						
Finnish	Bulgarian		1	1	2		1	2	2	2	2		1	2	1	3	1	2	1	1			1			3	3	2	2		5	5				
Finnish	Buriat																												1							
Finnish	Catalan								1									1	1	1	1		1					1	2							
Finnish	Chinese																	1	2	2	1				1	2	2	10	11	4	3					
Finnish	Croatian															1				3	6	1	4	1	2	2			1	1	1	2				
Finnish	Czech		2	3	3	1	1	3	1		1	2	2		1	1	4	3	3	2	2	3	3	2	3	6	9	6	8	8	8	7	12			
Finnish	Danish		5	2	3	2	9	7	8	8	5	9	5	6	13	4	4	5	5	8	13	6	6	6	6	13	2	5	4	6	6	4				
Finnish	Dutch		1			2	1	2	4	2	2		2	1	4	1		3	5	1	2	2		2	2	3	2	5	6	4						
Finnish	English		9	22	20	23	34	19	23	35	24	31	38	44	26	16	46	98	111	105	104	85	117	73	74	66	66	54	65	86	90	70				
Finnish	Esperanto								1																1					1						
Finnish	Estonian		5	4	7	2	6	6	5	4	6	8	6	13	6	25	31	56	54	43	42	61	46	38	58	41	48	52	48	44	65	74	48			
Finnish	Farsi, Western; Persian										1												6													
Finnish	Finnish																													1	1					
Finnish	French		5	4	5	1	4	4	8	7	4	4	10	5	3	3	9	11	16	15	19	13	28	14	15	12	19	20	20	26	12	22				
Finnish	Gallegan																														1	1				
Finnish	German		14	20	21	12	18	10	22	18	16	28	12	21	18	12	11	28	23	21	23	23	31	18	24	29	17	21	36	36	48	59	24			
Finnish	Greek, Modern (1453-)					1			1				3	1		1			3		1			1	2	1	1	1				2				
Finnish	Hebrew										1	1											1	1	2	1	2	2	1	1	1		2			
Finnish	Hindi																									1										
Finnish	Hungarian		8	3	3	5	8	11	10	7	8	5	4	9	5	2	3	1	2	4	5	7	5	5	7	6	6	3	1	5	9	10				
Finnish	Icelandic				1	1	1	1	2	9	2	2	4	4	3		1		7	1			1	1		3	1					1				
Finnish	Indonesian					1																														
Finnish	Inuktitut																							1												
Finnish	Italian		1	2	1			1		3	7	1			2	1		3	3	3	3	2	1	1	2	1	3	3	2	4	2	2				
Finnish	Japanese		1	2	2	2	2	1	1	1	1	1		2	1	4	2	4	3	5	6	8	6	5	2	5	5	3	8	9	11	16				
Finnish	Karelian																												1			1				
Finnish	Kirghiz			1										1																						
Finnish	Korean											1				1			1																	
Finnish	Kurdish																	1				1														
Finnish	Latin									1															1	1	1	1								
Finnish	Latvian		1		2	2			1	2			1						1	6	3	2	4	3	1	3	1	2	7	4	7	1				
Finnish	Lithuanian				1		1	1	3	2	2							4	1	3	1	4	2	2	1	1	2	1	4	5	6	6				
Finnish	Macedonian																					1														
Finnish	Mari (Russia)															1																				
Finnish	Mari, Western																											1								
Finnish	Moldavian				1																										1					
Finnish	Norwegian		5	7	3	3	10	5	8	5	5	5	1	5	4	1	6	4	2	2	4	2	3	4	8	8	4	8		1	1					
Finnish	Norwegian, Bokmål																										1	5	6	11	11	10				
Finnish	Norwegian, Nynorsk											1		1	2	2					1		1					1		1						
Finnish	Polish		3	5	3	3	2	3	2	2	6	4	2	1	2	1	2	1	1	4	6	11	2		4	2	5	9	5	4	9	5				
Finnish	Portuguese								1			1	1	1		2		2	1		2			1		1	2		1	1						
Finnish	Romani, Kalo Finnish																							1												
Finnish	Romanian					1			1													1	1	2	2	1			2		1					
Finnish	Russian		17	14	17	9	14	19	25	17	19	16	14	12	12	17	9	17	20	20	7	8	7	11	8	9	10	12	13	23	32	9				
Finnish	Saami, Inari																						3	2	1						1					
Finnish	Saami, Northern							5	2	1		1		1	2		1				1								3	1	5	8				
Finnish	Serbian																	1			1	1	1		1		1		1	2	2	5	8			
Finnish	Serbo-Croatian (to 1992)				2	2	1			1		1																								
Finnish	Slovak		2	2				1		3	1	3	2	3		2			2			1				1	3	1		2	1	2				
Finnish	Slovenian						1		1	2	2		1			1			1	2	1	1		1		1	3	1	5	5	3	3				
Finnish	Somali																			1	2	1					1									
Finnish	Spanish			2	1	3	1	3	4	6	1	4	1	4	2	2	4	4	10	3	6	9	9	6	10	3	9	6	8	4	9	7				
Finnish	Swedish		58	62	57	65	63	85	97	96	112	145	82	104	76	46	62	111	110	115	100	96	108	115	99	100	101	104	94	100	143	107				
Finnish	Tajik								1																											
Finnish	Thai																										1									
Finnish	Turkish					1									1	2	1														1					
Finnish	Ukrainian				1		1				1	1		1					1		1															
Finnish	Uzbek							1	1			1																								
Finnish	Veps																										1									
Finnish	Vietnamese													1						1	2															
Finnish	Welsh		1														1																			
Fon	French																												1							
Franco-Provençal	French																			1																
French																			1																	
French	Abidji												1					1																		
French	Abkhazian							1																												
French	Afrikaans																															8				
French	Aja (Benin)							1			1	2	1																	1	1					
French	Ajië																													1						
French	Albanian	7	15	8	6	12	7	8	6	12	7	3	3	7	2	1	2	9	19	17	7	8	39	42	42	46	39	48	56	63	86	83	69			
French	Algonquin									1	1																	2								
French	Alsacien			1			1	1	1	1								2	1	1		1	1							1						
French	Anyin																						2													
French	Arabic	24	45	57	64	44	23	71	68	65	47	47	83	57	39	42	87	63	74	45	43	101	64	96	67	114	174	92	83	48	44	60	13	15		
French	Arabic, Chadian Spoken																							5		1	1	4	5	6			2			
French	Aragonese																	3				1		2												
French	Aramaic																												1							
French	Armenian		2	3	4	8	7	8	4	4	7	5	5	8	12	6	3	8	6	6	5	4	12	15	5	15	8	10	11	10	18	18	13	1		
French	Assamese	2				1								1		1	2		2	3			3		2	2		3	1							
French	Asturian; Bable						1							1		1	4	6	3	3	1	1		4			1	1			2					
French	Atikamekw										2															1										
French	Azerbaijani		1	1	1		1	1	2	2	7	4	5		1										2	1	1									
French	Baatonum							1								3																				
French	Balanta-Ganja																													2						
French	Bambara								3										2		2						1							1		
French	Bana								1									1			1								1							
French	Basa (Cameroon)															1			1													1				
French	Basque		2	5	5	10	13	10	16	17	21	12	8	22	7	14	29	24	27	28	15	20	15	11	14	14	28	27	33	21	24	42				
French	Bavarian, dialects of															1																				
French	Belarusian	1	1	2		2		1	1	1	1	1	1	1	1	3	3	1	2	10	1			1				1	3		2	2	2			
French	Bemba (Democratic Republic of Congo)					1																														
French	Bengali		1	4	6	5	6	4	13	3	2	3			2		2	2	1			1	5	2			2	4	2	2						
French	Biali											1	1																1	10						
French	Bissa										1	1				1	1		3				1													
French	Bosnian																					1				1			9		1		64			
French	Breton		1		1		3	6	1	21	2		2	2	2	16	14	8	7	12	6	10	9	7	13	18	13	11	9	16	9	6				
French	Brussels																										1	1		1	1					
French	Buamu																	2				1			5	3		3	2		4	3				
French	Buduma																												2			1				
French	Bulgarian		36	55	37	62	49	50	55	45	32	28	29	33	98	321	206	141	112	71	79	126	87	63	19	50	93	118	116	103	112	76	17			
French	Bulu																												2							
French	Buriat		1																																	
French	Burmese							1					4	1	1																					
French	Catalan	1	29	33	48	77	112	130	106	131	116	112	97	275	75	146	107	100	94	103	86	90	84	110	155	132	122	108	133	37	156	135	2			
French	Catalan, Valencian						1				2	1				1			1				1		1											
French	Cerma										1								1			2	9		3											
French	Chinese	2	3	6	4	6	2	3	11	8	11	25	7	1	4	5	5	8	8	11	127	6	10	48	51	484	570	519	873	680	485	3	1		1	
French	Chuvash							1																												
French	Comorian, Ndzwani																				1															
French	Corsican																	1			1	2	1	2	2	4	5	7	4	7	2	1				
French	Cree																									1										
French	Croatian			1											1	21	36	33	54	44	64	50	52	70	95	98	120	188	152	133	173	168	174			
French	Czech	1	78	27	26	44	40	28	46	39	28	37	46	40	61	74	132	181	183	175	199	162	175	203	221	224	304	252	280	255	289	297	278			
French	Daba								1								3										1				5					
French	Dagara, Northern																						1	1	3											
French	Daju, Dar Daju																														1		3			
French	Dan													1																						
French	Dangaléat																					2	1	1	5											
French	Danish	1	181	172	69	83	114	104	106	108	125	134	96	102	100	93	66	90	90	97	79	116	128	179	189	170	155	151	153	151	120	61				
French	Dazaga																										2	8								
French	Dendi (Benin)											1																								
French	Dida, Yocoboué						1					1																								
French	Dii															1																				
French	Ditammari										1	1	1			4																				
French	Dogosé																										5	6								
French	Drents																																1			
French	Duala															1																				
French	Dutch	39	142	190	172	124	176	491	722	565	463	397	253	390	395	317	206	448	524	490	449	387	181	351	556	619	738	727	542	494	54	12				
French	Dutch, dialects of																											1								
French	Dzùùngoo																		1		6					1										
French	Ede Idaca												1																							
French	Elip																										2									
French	English	21	832	778	661	621	620	738	867	938	844	975	867	1030	1057	1112	1108	1114	1105	1132	1174	1347	1409	1373	1393	1346	1232	1429	1535	1461	1447	922	56	4	1	
French	English, Middle (1100-1500)																		1													1				
French	Esperanto		1		2		1	1	1	2		1			1		2	1		1	3	2	1	1	2	2	6	1	2		1	1	1			
French	Estonian		5	8	5	5	3	7	3	5	7	5	10	6	2	18	27	30	46	38	57	43	54	63	71	64	81	77	86	100	94	89	57			
French	Ewe																										4									
French	Farefare																	1									1	1			1					
French	Faroese																1	1	1									1								
French	Farsi, Western; Persian			1	1			2	2	54	46			1				1					258				2	331	1		1					
French	Fe'fe'															2			1																	
French	Fijian																						1													
French	Finnish	1	74	76	78	80	74	87	67	51	59	61	78	90	55	14	71	122	91	92	91	70	89	107	115	103	107	118	152	153	170	129	1			
French	Fon							1		1	2	1	2																							
French	Foodo																1																			
French	Franco-Provençal																													1	2					
French	French																													1			1			
French	French, dialects of			1												1			1						2			1	2	5	2	4				
French	French, Middle (1400-1600)																														1					
French	Frisian, Western								1		1		2																							
French	Fuliiru																								1		1									
French	Gaelic (Scots)								1																							1				
French	Gallegan		2	1		1	8	10	12	7	5	8	1	22	11	9	10	8	9	15	12	16	19	14	7	12	10	20	33	4	14	22				
French	Gallo																														1					
French	Gascon		1	1				1			1								1																	
French	Gbaya-Bossangoa	1																		1			2	1												
French	Gbe, Kotafon											1																								
French	Gbe, Saxwe											1																								
French	Gbe, Waci										1	1	1																							
French	Geman Deng										1	1	1																							
French	Georgian		8	7	8	8	7	9	4	5	9	9	5	3	3																					
French	German	8	1280	1207	1186	1169	1099	1065	1095	1217	1187	1252	1176	1187	1276	1154	1005	1187	939	1026	1020	1243	1137	1073	1110	1037	620	546	958	883	1020	1030	814	4		
French	German, dialects of																										1									
French	German, Middle High (ca.1050-1500)																															1				
French	German, Pennsylvania																													1						
French	Ghomálá'															2													1							
French	Greek, Ancient (to 1453)																1		1								1	1								
French	Greek, Modern (1453-)	8	100	25	104	3	8	15	90	10	47	53	123	61	7	138	29	141	308	44	165	58	283	421	453	396	415	415	391	318	365	336	1			
French	Guadelupean and Martiniquan Creole French					1															1			2	1	6		3		1	1	3				
French	Gude															4	1	1	1	1																
French	Guianese Creole French																			1					1	2	1	1	2							
French	Gujarati									1		1	5			1								1				1	1							
French	Haitian; Haitian Creole French																				1				1			1								
French	Hausa								3						1									1												
French	Hdi																	1								1			1							
French	Hebrew		18	18	17	15	22	29	20	18	29	26	22	12	13	16	7	4		3	12	12	27	31	59	19	23	31	44	40	21	39	35			
French	Hindi		1	1	1	3	1			1	4	2					1			1	3	3		3		1	3	4	1							
French	Hungarian		81	60	31	84	84	80	66	68	76	55	77	107	116	60	126	72	126	99	208	207	252	259	242	161	171	159	183	216	189	232	1			
French	Icelandic			46	30	23	15	5	11	21	17	15	15	10	17				19	15	20	10	9	14	9	16	11	1								
French	Ifè							1		1				1		1	1	1	2	1				1									1			
French	Indonesian		31	14		5	17		57	11	16	5	3	1	15					1	4						2		1	2		1	1			
French	Inuktitut									1		1						1				2				1										
French	Irish		1	1																																
French	Italian	53	450	580	439	66	36	67	102	543	476	507	193	142	277	571	467	612	404	443	478	490	518	451	439	494	570	517	68	290	185	52	7		1	
French	Japanese		242	239	231	222	237	203	219	215	238	155	25	141	279	340	397	413	420	373	401	409	402	464	433	481	413	475	494	530	462	341				
French	Jula																				2		1													
French	Kaansa																											1	1	1	2					
French	Kabiyé							4															1				1									
French	Kabyle																														1					
French	Kako										1	3	2			2	1			1						1			1							
French	Kalaallisut																						1			1				2	1					
French	Kannada						2							1						1					1		1									
French	Karaboro, Eastern							2								1		1	1	1	1															
French	Kara-Kalpak						1			1	1																									
French	Karang					1				1				1				1		1		2	4		1											
French	Kasem												3	1				2		1				3	1	2	1	1		3	2					
French	Kazakh		1	2	2	1	4	3	2	1	1	2	2	1												4	2	2	4	2	3					
French	Kenga																										1	1		1						
French	Kera													1		1	1		1																	
French	Khmer															1																				
French	Kirghiz		1		1	3		1			1		1																							
French	Kituba					1								2																						
French	Komo													1																						
French	Kongo					1									1		1									1										
French	Koonzime																	1	1	1					1						3					
French	Korean		43	34	15	27	40	32	26	66	66	60	87	123	73	103	119	158	102	97	181	160	290		1	2						1				
French	Koromfé																										2	6								
French	Kouya																						2													
French	Krio																															1				
French	Kuo																1	3	1																	
French	Kurdish																1	1		1			1	1		1										
French	Kwanja																														4					
French	Ladino		1																																	
French	Lama			1																												4	2	2		
French	Lao																													1						
French	Latin			2	2	1	2	3	1	1	5	2		1	1		2						1	1	4	3	2	3	4		3	1				
French	Latvian		11	12	6	6	6	6	11	4	5	4	5	9			1	5	35	15	21	14	15	11	23	25	22	24	24	39	35	23				
French	Letzeburgesch										4	5	2	1	4																					
French	Lingala					1									1					1						1				1			1			
French	Lithuanian		10	8	10	6	13	8	18	12	4	9	6	1			42	71	62	74	72	67	62	50	42	63	60	81	116	95	119	69				
French	Luba-Katanga					1																														
French	Luba-Lulua	2				1									1						1	1				1				1						
French	Lyélé																		1		1															
French	Maba																									2	3				1					
French	Macedonian		4	4	1	4	5	6	4	3	2	13	16		1	2	6	10	11	10	8	20	9	4	2	27	28	22	32	32	29	32	17			
French	Makaa												2			1								4		2										
French	Malagasy						6	1				1	12	4	9		2	1	4	7	3				1											
French	Malay		1		1		3	1			3	2													1											
French	Malayalam		1	1	2	5	3	10	3	2		1			1								1				1	1	2							
French	Maltese					1		3	2			1																								
French	Mambila, Cameroon															3	1				1		1								2					
French	Mandinka																													2						
French	Marathi			1	1			1					1				1						3		1											
French	Mbelime																															1		1		
French	Mbuko																						1		1				2							
French	Medumba															2																				
French	Migaama																									1										
French	Mmaala																														2					
French	Mofu-Gudur					1											2			3	3															
French	Mohave																										1									
French	Moldavian		1	3	3	2	7	3	2	3	2	3	6	4			1	7	3	2	10	7	3		10	12	13	4	19	26	33	52	40			
French	Mongolian, Halh		1		2	1				2			2	4								1		1	1		4	1	5	3	1					
French	Mongolian, Peripheral			4	2	2	1	4	2					1													1	5								
French	Mono																		1			1														
French	Moré; Mossi																								1						1					
French	Morisyen			1													1			1										1						
French	Mukulu																								8											
French	Multiple languages						1		2	3	1	1	2	3		12	2	4	15	14	6	11	4	5	1	7		2								
French	Muyang																								1		8									
French	Nateni																	2																		
French	Ngangam																13					1														
French	Ngbaka									1				1																						
French	Ngiemboon							2															1	6					1		2					
French	Ngomba																												2							
French	Nomaande																1				1															
French	Norse, Old																						1													
French	Norwegian	1	41	54	35	22	15	40	33	52	70	66	54	64	53	50	61	68	50	58	50	64	53	40	77	80	71	45		3						
French	Norwegian, Bokmål																						1	2	1		3	24	95	102	105	73	1			
French	Norwegian, Nynorsk											1	2	1	6	2	5	6	1	3	5	5	5	2		1	2	9	10	4	10	7				
French	Nugunu															2																				
French	Nuni, Southern		1								1					1					5															
French	Nyanja; Chichewa										2																									
French	Nzakambay																1																			
French	Occitan (post 1500); Provençal		1	1	2	2	1	1		1				2	4	1	11	4	7	12	6	9	12	5	6	11	11	11	13	8	13	5				
French	Oku																1																			
French	Oriya	2	1	1			1			1			1		2	1						2			3			1								
French	Ossetian; Ossetic								1			1																								
French	Paicî																										1			1						
French	Panjabi			1				1								1																				
French	Papiamento																															1				
French	Parkwa				1				1				1	1																						
French	Picard			1																				1				2	2	1	2					
French	Picard, dialects of																													1						
French	Plautdietsch																									1										
French	Polish	7	75	76	76	77	60	57	79	66	84	117	170	84	232	323	290	294	278	291	308	297	321	178	378	311	326	308	329	326	359	264				
French	Portuguese	333	191	300	338	413	382	439	322	489	558	669	704	595	587	605	692	595	374	355	723	170	347	307	304	287	642	560	117	79	36	18				
French	Provençal, Old (to 1500)		1					1		1					2	1	1						1	1			1									
French	Pulaar																								2		1			2						
French	Raeto-Romance		1				1			2	1		1		2	2		1				2	1	1		6			1		1					
French	Réunion Creole French																		1				1	1	1	2	2	1		2	2					
French	Romani, Balkan																													1						
French	Romani, Baltic																										1									
French	Romani, Carpathian																														1					
French	Romanian	1	57	63	64	62	65	31	34	30	42	27	33	43	168	199	317	228	161	188	159	259	239	256	277	150	32	208	308	381	374	144	1			
French	Russian		132	128	111	158	191	184	180	141	147	193	218	303	731	1050	1022	542	360	270	19	47	264	14	22	10	18	502	794	715	899	15	13			
French	Saami, Inari																							1												
French	Saami, Northern				1																									1						
French	Saami, Skolt																													1						
French	Sango																									1										
French	Saterland Frisian																																1			
French	Schwyzerdütsch					1									1			1	1				1	2	2	1	1	1	1		1					
French	Scots																1							2	1	1			1							
French	Serbian	1															33	50	61	64	101	130	111	98	117	200	229	264	282	264	263	245	296			
French	Serbo-Croatian (to 1992)		109	66	98	85	89	67	78	74	96	70	113	5	48	31	1																			
French	Serer-Sine																								2					2						
French	Sinhala		1		4	2	1			1	5		4			1			3	2	3	2			2											
French	Sissala									1	1	1			4	1										1										
French	Slovak		20	29	19	15	31	32	25	30	29	21	20	23	43	70	72	93	74	26	57	64	71	15	68	62	60	59	56	57	50	20				
French	Slovenian		27	26	16	26	24	24	43	41	45	20	25		33	23	33	58	55	86	85	100	105	95	74	78	82	105	101	105	177	197	53			
French	Sokoro																							1		4					1					
French	Somrai																						1	2		2		1		1			2			
French	Soninke																		1																	
French	Sorbian, Lower and Upper																													1			1			
French	Sotho, Southern												1																							
French	Spanish	9	1371	1349	1465	1468	1326	1538	1893	1519	1591	1112	643	1635	682	1181	1214	974	912	872	866	1016	1212	1187	1208	1160	1430	1104	1421	349	1401	1135	5	1		
French	Spanish, dialects of																					1			1											
French	Swabian																					1					1									
French	Swahili					1									1							3	1			1										
French	Swedish		138	83	114	113	115	95	123	127	137	128		191	166	180	175	148	94	92	78	86	112	99	103	124	119	142	116	104	86	114				
French	Syriac																1																			
French	Tahitian																				1	1					1									
French	Tajik					2	2	1	2			5																								
French	Tamashek																							1												
French	Tamazight, Central Atlas																1				1		1				1	1								
French	Tamil			1		1		2		2		2	3	2			1	2	1			2	3	2	5	1		1	2							
French	Tatar		1	1		1		1						2																						
French	Telugu		1																																	
French	Tem								2										1																	
French	Tembo																												1	2						
French	Tetum																																	1		
French	Thai		6	1	1	3	1				1	4	4	1										1			5									
French	Tibetan, central																											1			1					
French	Tigrinya									2							1		1						1											
French	Tikar						1		2	2	1							1																		
French	Toussian, Southern																					1	1		1			1	1		2					
French	Turka																										1			1						
French	Turkish	2	27	14	56	153	175	228	162	108	87	90	133	119	127	204	32	36	29	1		6	6	113			1					1				
French	Turkmen		1																																	
French	Uighur					4	4	4	1																		1	1								
French	Ukrainian		3	9	11	10	10	7	10	7	8	4	6	10	10				10	1		15	9				19				1					
French	Urdu		2	1							1		1								1	1				1	3									
French	Uzbek		1	1	1	3		2	1	3	2	2	2	1																						
French	Vietnamese			1					2			3	1	2	2	2		2		3		2	2	4				2	2							
French	Vute																														2					
French	Waama										1		1			5																2				
French	Walloon				5	1	1	2		1									1				1	1	1		1	1	2	2	1					
French	Walloon, dialects of																													1						
French	Wè Northern																		1	2																
French	Welsh		7	5	3	2	1	1				1		2	7	1	5	1		2								1	1		5	4				
French	Wolof																			1		1		1	2		1			2	3		1	1		
French	Wuzlam																															1				
French	Yaka																							1						1						
French	Yamba																	1																		
French	Yaouré																1																			
French	Yemba																							1							1					
French	Yiddish															1							1	2					1		1					
French	Yom															2																				
French	Yoruba							1			1	1	2																							
French	Zan Gula																													2			1			
French	Zulgo-Gemzek							1		1																										
French, dialects of	French		2	1				1		4	2		1				3	5	1	2	6	1	4	4	4	5	1	1	1	4	1					
French, dialects of	Italian																				1															
French, dialects of	Occitan (post 1500); Provençal																			1																
French, Middle (1400-1600)	Bulgarian					1																														
French, Middle (1400-1600)	Catalan																						1													
French, Middle (1400-1600)	Czech																										1		1		1					
French, Middle (1400-1600)	Danish					1																														
French, Middle (1400-1600)	Dutch								1	1		1			1	1			2						1					2						
French, Middle (1400-1600)	English		4	3	2	2	3	4	1	2	1	3	1	4	2	3	4	2	1	6	1	1	8	2	3	5	2	1	3	4	1	1				
French, Middle (1400-1600)	English, Middle (1100-1500)									1																1										
French, Middle (1400-1600)	Farsi, Western; Persian																						2													
French, Middle (1400-1600)	French		1	1		2	1			1		1			1	2	3	3	11	4	9	10	9	5	6	6	9	5	5	8	7	7				
French, Middle (1400-1600)	French, Old (842-ca.1400)											1				1																				
French, Middle (1400-1600)	Gallegan																							1												
French, Middle (1400-1600)	German									1	2	2	1		2	2												1								
French, Middle (1400-1600)	Hungarian													1	3																					
French, Middle (1400-1600)	Italian				1							1						1		4	1		1	1	1											
French, Middle (1400-1600)	Japanese																		1									1								
French, Middle (1400-1600)	Norwegian																						1													
French, Middle (1400-1600)	Oriya																									1										
French, Middle (1400-1600)	Portuguese							1							1	1																				
French, Middle (1400-1600)	Romanian																															1				
French, Middle (1400-1600)	Russian														2	1											1	2								
French, Middle (1400-1600)	Serbo-Croatian (to 1992)												1																							
French, Middle (1400-1600)	Spanish					3		1		1	1			1	1			1	1					1	1		1	1								
French, Middle (1400-1600)	Swedish				1		1	1																												
French, Old (842-ca.1400)	Albanian																									1	1									
French, Old (842-ca.1400)	Arabic																			1																
French, Old (842-ca.1400)	Armenian																		1																	
French, Old (842-ca.1400)	Basque																												1							
French, Old (842-ca.1400)	Bulgarian										1					1	2		2		1							1				1				
French, Old (842-ca.1400)	Catalan					1	2	1	1		1			2		3									1											
French, Old (842-ca.1400)	Catalan, Valencian											1																								
French, Old (842-ca.1400)	Chinese																										1	1								
French, Old (842-ca.1400)	Croatian																	1	1				1						1							
French, Old (842-ca.1400)	Czech														1						1							1	1							
French, Old (842-ca.1400)	Danish														1											1										
French, Old (842-ca.1400)	Dutch		2			2			1	1	1		1		1	1		1							2			1	2	2						
French, Old (842-ca.1400)	English		4	2	1	5	9	7	6	7	4	3	5	11	12	14	12	14	8	15	15	2	5	9	5	3	5	7	9	8	5	1				
French, Old (842-ca.1400)	English, Middle (1100-1500)										1	1		2											1											
French, Old (842-ca.1400)	Estonian																				1										1					
French, Old (842-ca.1400)	French		4	4	2	1	4	1	6	4	9		10	4	12	5	7	19	14	14	17	20	28	20	10	16	38	22	16	26	21	15				
French, Old (842-ca.1400)	Gallegan												1					1			1															
French, Old (842-ca.1400)	German		7	2	3	3	6	2	5	2	7	1	2	4	6	1	1	1	3			1		1		1				1						
French, Old (842-ca.1400)	Greek, Modern (1453-)																		1																	
French, Old (842-ca.1400)	Hungarian																					1	1		3	1				1	1					
French, Old (842-ca.1400)	Italian	1		2					1	2						1		7		6		1	2		3		4	2		1						
French, Old (842-ca.1400)	Japanese									1		1						3	1	1					2						2					
French, Old (842-ca.1400)	Korean														1				1																	
French, Old (842-ca.1400)	Lithuanian											1											1				1	2	1							
French, Old (842-ca.1400)	Mongolian, Halh										1																									
French, Old (842-ca.1400)	Norwegian					1	1				1			1	2	1					1	1	3				1									
French, Old (842-ca.1400)	Norwegian, Bokmål																											1	1	1		1				
French, Old (842-ca.1400)	Picard																														1					
French, Old (842-ca.1400)	Polish							1							1	1	1	2		1	1		1													
French, Old (842-ca.1400)	Portuguese					1			1		2		1						1						1	1										
French, Old (842-ca.1400)	Romanian																						1			1		1		1		1				
French, Old (842-ca.1400)	Russian			1				3	3		1		1						3				1					1	1	1	1					
French, Old (842-ca.1400)	Serbian																																1			
French, Old (842-ca.1400)	Serbo-Croatian (to 1992)				1								1																							
French, Old (842-ca.1400)	Sinhala										2																									
French, Old (842-ca.1400)	Slovenian																			1	1															
French, Old (842-ca.1400)	Spanish		5	3	5	4	13	7	6	9	16	7	3	2	3	6	6	3	6	2	2		3	5	2		3	2	1			1				
French, Old (842-ca.1400)	Swedish		1															1		1																
French, Old (842-ca.1400)	Turkish							1	1															1												
French, Old (842-ca.1400)	Ukrainian																										1									
French, Old (842-ca.1400)	Welsh															1																				
